employee_id,age,experience_years,monthly_salary,shift_type,overtime_hours,attendance_percentage,leave_count,performance_rating,distance_from_home_km,attrition
EMP0169,54,32,22086,Rotational,10,94,9,4,36,0
EMP0170,50,29,38442,Day,57,79,2,4,44,0
EMP0171,59,38,28412,Day,41,61,4,1,27,1
EMP0172,41,20,37596,Night,0,66,7,5,22,1
EMP0173,32,10,22255,Night,10,91,9,3,2,0
EMP0174,49,28,35332,Rotational,23,78,7,1,7,0
EMP0175,49,28,27764,Rotational,9,71,13,5,16,0
EMP0176,41,20,39563,Rotational,13,68,1,5,24,0
EMP0177,58,38,34139,Night,13,86,8,4,30,0
EMP0178,29,9,17062,Rotational,6,73,5,2,44,1
EMP0179,56,34,19244,Rotational,22,61,8,2,48,0
EMP0180,19,0,18372,Day,42,80,13,3,46,0
EMP0181,20,0,31965,Day,21,63,3,4,1,0
EMP0182,54,34,28956,Day,59,80,2,2,27,0
EMP0183,34,15,25894,Rotational,35,81,13,1,9,0
EMP0184,19,0,16050,Night,26,61,13,3,7,1
EMP0185,19,0,28709,Day,55,76,4,4,5,0
EMP0186,45,24,27722,Night,1,78,4,1,30,0
EMP0187,40,20,27210,Rotational,38,99,3,2,42,0
EMP0188,54,34,29733,Rotational,50,83,12,2,27,0
EMP0189,49,29,32080,Day,45,79,6,2,10,0
EMP0190,50,28,39250,Night,18,97,7,2,25,1
EMP0191,18,0,32229,Day,6,71,14,5,18,0
EMP0192,36,15,28475,Rotational,11,84,4,3,7,0
EMP0193,19,0,41011,Night,2,82,14,3,31,0
EMP0194,43,23,20128,Day,46,93,8,2,32,0
EMP0195,49,29,44450,Rotational,4,91,6,3,45,0
EMP0196,23,1,30897,Day,7,83,12,1,11,0
EMP0197,49,30,20168,Night,13,84,12,1,10,0
EMP0198,21,0,18861,Night,35,62,6,3,22,1
EMP0199,28,9,25750,Night,6,84,7,2,31,0
EMP0200,34,13,28988,Night,6,87,11,4,41,0
EMP0201,55,36,14979,Night,49,71,3,2,47,1
EMP0202,41,19,35524,Day,45,85,9,5,14,0
EMP0203,22,1,19065,Day,31,67,12,4,3,0
EMP0204,51,30,35184,Day,7,64,12,5,24,0
EMP0205,23,2,35704,Day,57,70,5,3,14,0
EMP0206,39,19,17622,Rotational,11,94,4,5,16,0
EMP0207,28,8,30261,Rotational,9,86,0,3,28,0
EMP0208,33,14,40419,Day,13,97,14,5,35,0
EMP0209,50,28,37605,Rotational,8,78,13,4,40,0
EMP0210,26,6,41171,Rotational,37,91,12,5,2,0
EMP0211,23,2,34164,Night,29,87,8,2,34,0
EMP0212,33,13,25796,Day,4,95,1,3,18,0
EMP0213,46,24,43320,Rotational,0,77,5,1,7,0
EMP0214,20,0,12665,Rotational,0,69,14,5,49,1
EMP0215,37,16,44694,Day,56,91,14,3,38,0
EMP0216,53,34,36230,Night,19,77,7,1,42,0
EMP0217,36,15,34995,Day,48,71,2,3,7,0
EMP0218,43,21,38784,Night,10,67,4,3,4,1
EMP0219,20,1,26605,Rotational,25,92,13,1,43,0
EMP0220,36,16,29463,Night,43,97,6,1,16,1
EMP0221,37,17,20419,Night,2,73,3,4,49,0
EMP0222,49,29,17263,Day,5,61,13,5,6,1
EMP0223,24,5,12519,Rotational,42,68,11,5,20,1
EMP0224,58,37,43106,Day,44,64,4,3,31,1
EMP0225,50,31,22514,Day,10,93,0,2,19,0
EMP0226,57,38,19233,Rotational,7,78,3,2,22,0
EMP0227,56,34,13102,Day,28,66,13,3,21,1
EMP0228,35,16,12597,Day,9,98,13,4,18,0
EMP0229,57,37,31657,Night,33,76,6,1,32,0
EMP0230,18,0,18256,Day,23,85,11,3,47,0
EMP0231,28,7,41401,Rotational,45,86,9,5,34,0
EMP0232,45,24,18554,Day,47,87,6,2,27,0
EMP0233,42,22,24664,Night,16,79,9,2,38,0
EMP0234,40,20,36386,Day,31,65,9,2,44,0
EMP0235,48,28,16846,Day,10,67,3,4,30,1
EMP0236,47,27,38205,Day,33,91,11,5,33,0
EMP0237,59,39,37570,Night,23,78,5,4,27,0
EMP0238,52,33,42255,Rotational,54,91,12,1,23,0
EMP0239,24,4,33182,Rotational,4,78,4,3,43,0
EMP0240,33,13,28043,Night,28,83,0,3,19,0
EMP0241,43,23,12400,Night,47,83,7,2,31,1
EMP0242,19,0,31239,Day,47,76,11,2,4,0
EMP0243,18,0,22416,Rotational,57,77,6,1,19,0
EMP0244,29,9,15412,Night,33,71,14,4,38,1
EMP0245,22,3,28440,Rotational,15,82,4,5,40,0
EMP0246,54,35,36406,Day,24,77,12,1,22,0
EMP0247,49,30,13875,Night,36,75,9,3,9,1
EMP0248,26,4,17752,Rotational,7,75,9,3,31,0
EMP0249,58,37,33217,Rotational,28,95,6,4,10,0
EMP0250,52,32,24489,Day,51,82,14,1,10,0
EMP0251,36,14,13353,Night,45,81,9,5,30,1
EMP0252,33,13,38986,Rotational,24,98,2,1,10,0
EMP0253,20,0,33371,Day,41,92,7,1,36,0
EMP0254,37,15,26691,Rotational,22,83,4,4,18,0
EMP0255,41,22,16311,Day,33,79,1,5,44,0
EMP0256,50,31,22794,Rotational,2,92,1,3,43,0
EMP0257,41,19,14934,Rotational,29,90,3,2,48,0
EMP0258,28,9,28406,Day,49,99,6,5,19,0
EMP0259,25,3,22394,Night,52,67,13,3,43,1
EMP0260,53,32,38872,Day,33,69,9,4,23,0
EMP0261,55,36,32800,Night,31,60,3,5,4,1
EMP0262,57,38,33352,Rotational,52,80,8,5,12,0
EMP0263,37,18,40312,Rotational,28,84,1,3,49,0
EMP0264,52,31,27438,Day,8,91,5,3,24,0
EMP0265,42,20,35385,Day,1,69,3,1,13,0
EMP0266,52,32,30482,Night,56,68,5,1,4,1
EMP0267,42,23,44471,Night,38,79,9,5,27,0
EMP0268,46,24,25026,Night,6,79,8,2,38,0
EMP0269,35,14,31648,Day,45,99,9,4,39,0
EMP0270,35,15,17435,Rotational,4,66,11,3,8,1
EMP0271,19,0,20493,Day,7,70,8,1,26,0
EMP0272,52,31,18691,Rotational,31,80,8,4,34,0
EMP0273,33,12,14763,Day,54,97,8,5,9,1
EMP0274,58,38,32389,Day,53,78,2,3,10,0
EMP0275,53,31,43498,Night,17,74,11,3,1,0
EMP0276,50,31,28934,Rotational,37,65,10,1,48,1
EMP0277,21,2,17574,Day,45,69,13,2,8,1
EMP0278,50,28,13587,Day,17,75,8,3,10,0
EMP0279,31,9,23688,Rotational,48,70,2,2,43,0
EMP0280,38,16,16409,Day,40,94,9,4,49,0
EMP0281,37,17,17783,Rotational,44,67,2,3,25,1
EMP0282,25,5,38751,Night,15,87,4,3,31,0
EMP0283,24,5,24041,Night,20,62,5,2,39,1
EMP0284,20,0,35227,Rotational,9,61,8,1,3,0
EMP0285,34,13,28654,Night,41,73,0,5,39,1
EMP0286,50,31,38370,Rotational,3,88,14,4,38,0
EMP0287,29,9,41482,Day,43,62,7,3,35,1
EMP0288,39,17,23586,Day,58,60,13,1,8,0
EMP0289,39,18,17322,Rotational,7,74,13,3,1,0
EMP0290,47,25,25932,Day,46,79,3,4,5,0
EMP0291,55,36,41299,Night,52,81,9,5,27,1
EMP0292,55,33,37179,Day,54,93,6,3,45,0
EMP0293,25,5,17257,Day,18,92,5,2,26,0
EMP0294,44,24,21777,Rotational,46,68,14,1,43,1
EMP0295,44,25,23249,Night,39,62,5,5,26,1
EMP0296,51,29,33390,Day,39,61,6,3,11,0
EMP0297,38,19,32369,Day,50,63,3,5,34,1
EMP0298,47,25,24881,Rotational,8,75,5,2,41,0
EMP0299,50,29,21587,Rotational,29,92,2,3,2,0
EMP0300,45,25,40264,Night,55,68,4,5,21,1
EMP0301,50,31,20791,Day,16,99,12,3,26,0
EMP0302,22,1,34375,Rotational,39,97,12,3,12,0
EMP0303,36,15,34611,Rotational,43,77,13,5,9,0
EMP0304,21,2,19833,Rotational,58,75,14,3,41,0
EMP0305,52,33,27754,Night,14,67,12,2,23,1
EMP0306,34,13,24577,Rotational,3,82,1,5,42,0
EMP0307,45,23,43095,Night,5,95,2,5,5,0
EMP0308,47,26,33248,Night,15,62,12,2,9,1
EMP0309,46,27,43891,Day,25,74,8,2,10,0
EMP0310,23,2,36124,Day,56,97,5,2,49,0
EMP0311,52,30,16566,Night,36,92,2,3,10,1
EMP0312,58,38,14196,Day,22,77,1,3,14,0
EMP0313,54,34,43115,Day,12,82,4,4,36,0
EMP0314,41,20,31859,Rotational,46,62,9,3,10,1
EMP0315,46,24,23345,Day,16,89,13,2,37,0
EMP0316,48,28,12864,Night,56,76,4,4,41,0
EMP0317,52,31,24055,Day,53,91,0,2,38,0
EMP0318,50,29,31747,Rotational,26,66,2,1,48,0
EMP0319,38,16,23978,Night,51,98,6,5,22,1
EMP0320,49,30,36599,Day,21,73,8,1,23,0
EMP0321,40,19,29615,Night,36,74,4,2,16,0
EMP0322,50,31,41377,Day,18,71,3,3,11,0
EMP0323,20,1,42031,Rotational,38,67,2,5,47,0
EMP0324,35,15,23760,Day,34,75,9,3,35,1
EMP0325,42,23,37762,Night,12,93,12,3,48,0
EMP0326,59,37,16944,Night,13,83,8,5,20,1
EMP0327,48,28,25877,Night,47,88,13,5,37,1
EMP0328,20,0,41990,Day,30,75,6,1,41,0
EMP0329,57,37,15258,Day,44,64,11,2,5,1
EMP0330,41,20,43629,Day,1,64,6,3,36,0
EMP0331,49,28,34958,Rotational,45,89,13,2,13,0
EMP0332,39,20,32317,Rotational,51,64,12,2,17,1
EMP0333,40,20,27775,Rotational,38,72,7,4,26,1
EMP0334,19,0,23039,Night,36,94,9,1,44,0
EMP0335,44,22,41097,Night,13,84,0,3,20,0
EMP0336,59,40,34553,Night,8,73,10,5,39,0
EMP0337,19,0,12055,Night,9,85,3,5,33,1
EMP0338,43,24,35161,Night,6,77,12,2,30,0
EMP0339,34,15,44873,Day,27,79,12,1,16,0
EMP0340,57,36,27184,Night,45,93,4,1,7,1
EMP0341,50,29,12669,Day,24,66,4,3,30,0
EMP0342,26,4,24663,Rotational,45,69,0,3,2,1
EMP0343,56,37,37318,Rotational,56,74,2,2,12,0
EMP0344,46,26,28691,Rotational,27,76,1,2,43,0
EMP0345,59,38,30522,Rotational,1,70,11,2,40,0
EMP0346,43,23,23656,Rotational,16,93,6,4,1,0
EMP0347,52,30,27893,Night,58,86,12,1,3,0
EMP0348,42,21,28493,Night,51,80,13,2,8,1
EMP0349,41,20,15632,Night,3,90,4,1,26,1
EMP0350,30,11,42336,Rotational,12,63,2,5,40,0
EMP0351,24,2,35112,Rotational,17,76,10,5,11,0
EMP0352,53,34,25266,Day,2,79,7,1,21,0
EMP0353,37,16,28940,Night,50,84,0,5,5,1
EMP0354,18,0,36003,Rotational,36,99,0,5,40,0
EMP0355,25,4,44872,Rotational,32,82,13,5,26,0
EMP0356,33,11,42869,Rotational,40,74,5,3,21,0
EMP0357,31,10,29257,Day,23,92,0,3,9,0
EMP0358,29,9,28682,Rotational,7,78,3,1,17,0
EMP0359,40,20,31622,Day,34,74,5,1,37,0
EMP0360,32,13,42408,Day,1,64,0,4,2,0
EMP0361,45,25,20837,Night,32,75,12,3,47,0
EMP0362,51,30,27407,Rotational,11,91,8,1,40,0
EMP0363,19,0,41309,Day,21,81,14,3,28,0
EMP0364,49,29,18382,Rotational,12,91,3,4,27,0
EMP0365,40,21,39654,Night,9,72,8,1,40,0
EMP0366,39,19,30895,Night,16,97,8,1,1,0
EMP0367,42,20,33376,Day,42,85,12,1,46,0
EMP0368,39,17,12370,Night,4,76,5,1,11,1
EMP0369,39,17,12486,Night,56,64,12,2,39,1
EMP0370,59,39,35762,Night,58,92,6,3,18,1
EMP0371,23,3,38613,Rotational,8,86,14,3,27,0
EMP0372,32,12,15196,Rotational,12,64,12,3,47,1
EMP0373,54,32,41401,Day,59,96,0,4,10,0
EMP0374,50,31,22813,Day,51,66,4,2,36,1
EMP0375,25,4,20572,Night,22,77,2,3,21,0
EMP0376,22,2,40225,Night,29,90,9,3,28,0
EMP0377,56,37,44275,Day,42,65,9,1,1,1
EMP0378,21,0,18843,Night,54,61,12,1,14,1
EMP0379,23,2,13105,Day,3,72,5,1,20,0
EMP0380,49,28,43639,Rotational,20,70,3,3,9,0
EMP0381,47,28,30051,Night,42,85,14,1,45,1
EMP0382,52,33,40708,Night,8,80,12,3,27,0
EMP0383,57,35,23864,Night,6,61,13,4,49,1
EMP0384,33,14,13425,Rotational,15,99,12,4,4,0
EMP0385,30,11,18849,Rotational,22,79,8,5,37,0
EMP0386,59,40,30976,Night,57,76,6,2,18,1
EMP0387,47,26,43113,Day,22,75,14,1,31,0
EMP0388,36,16,27401,Rotational,30,64,13,1,49,0
EMP0389,34,12,24884,Night,56,73,14,2,39,1
EMP0390,36,16,30824,Night,4,83,3,2,10,0
EMP0391,45,25,28142,Rotational,5,63,12,5,9,0
EMP0392,43,24,17956,Day,50,83,10,2,28,1
EMP0393,54,32,25928,Night,0,68,5,3,28,1
EMP0394,43,23,21721,Day,58,62,1,1,13,1
EMP0395,40,20,23157,Day,47,68,13,2,18,1
EMP0396,26,4,18696,Rotational,27,77,2,3,12,0
EMP0397,29,10,39862,Night,17,95,14,2,8,0
EMP0398,18,0,17190,Night,23,78,10,3,23,1
EMP0399,18,0,16663,Day,12,83,6,4,5,0
EMP0400,51,31,16331,Rotational,32,63,10,3,7,1
EMP0401,49,28,40549,Rotational,9,68,11,5,15,0
EMP0402,42,23,28246,Rotational,6,92,3,3,3,0
EMP0403,57,37,37761,Day,36,60,13,2,18,0
EMP0404,18,0,15262,Day,31,94,11,4,38,0
EMP0405,33,11,19036,Night,44,69,9,4,26,1
EMP0406,56,36,34322,Rotational,21,71,6,3,38,0
EMP0407,22,3,31131,Day,15,77,8,2,33,0
EMP0408,39,20,16677,Rotational,23,73,13,4,21,0
EMP0409,46,24,19972,Day,51,69,12,3,17,1
EMP0410,20,0,27329,Night,53,69,4,3,43,1
EMP0411,29,10,32493,Rotational,13,77,13,3,2,0
EMP0412,43,21,30595,Day,10,83,0,4,25,0
EMP0413,33,12,33923,Rotational,18,60,4,1,41,0
EMP0414,54,34,21735,Day,22,89,5,2,19,0
EMP0415,39,18,19727,Day,33,74,13,5,38,0
EMP0416,46,25,19764,Day,59,67,10,5,25,1
EMP0417,31,12,39599,Rotational,39,94,1,2,39,0
EMP0418,45,26,12818,Day,12,77,7,1,4,0
EMP0419,22,3,17660,Night,38,75,12,2,3,1
EMP0420,47,27,41521,Rotational,43,80,1,3,34,0
EMP0421,22,1,30385,Night,27,74,14,2,42,0
EMP0422,29,9,35296,Night,39,64,13,2,10,1
EMP0423,33,14,35616,Rotational,15,66,8,4,49,0
EMP0424,43,22,38382,Day,49,66,13,5,27,1
EMP0425,43,23,23139,Night,50,86,12,5,48,1
EMP0426,38,18,44060,Rotational,27,84,1,3,26,0
EMP0427,56,34,34419,Day,3,81,2,3,27,0
EMP0428,53,33,39785,Rotational,27,72,7,4,1,0
EMP0429,50,31,27702,Rotational,56,76,10,3,44,0
EMP0430,47,27,41217,Rotational,59,72,5,1,20,0
EMP0431,54,33,24397,Day,11,85,0,4,25,1
EMP0432,40,20,38940,Night,15,68,14,4,10,1
EMP0433,27,5,40341,Night,52,64,3,2,1,1
EMP0434,22,1,22067,Rotational,53,98,4,2,16,0
EMP0435,53,32,25824,Rotational,48,92,13,1,11,0
EMP0436,51,29,25444,Day,35,63,10,4,4,0
EMP0437,48,29,22974,Rotational,19,87,2,4,35,0
EMP0438,27,6,41290,Rotational,25,85,0,2,13,0
EMP0439,36,17,28016,Rotational,55,63,2,5,21,1
EMP0440,49,28,44112,Night,55,75,12,5,15,1
EMP0441,18,0,40513,Rotational,25,96,8,2,10,0
EMP0442,22,3,14956,Night,21,81,1,3,38,1
EMP0443,21,0,20077,Day,55,95,0,4,11,0
EMP0444,33,14,30000,Day,8,97,6,1,32,0
EMP0445,41,19,25806,Night,4,94,12,5,33,0
EMP0446,33,14,24809,Night,16,84,6,3,20,0
EMP0447,19,0,26855,Night,48,67,4,4,36,1
EMP0448,45,24,41388,Night,33,76,1,3,30,0
EMP0449,49,30,18458,Rotational,1,77,13,4,10,0
EMP0450,44,23,18853,Night,52,71,0,4,15,1
EMP0451,37,18,44222,Night,54,92,12,2,29,1
EMP0452,41,19,30320,Night,6,82,4,2,1,0
EMP0453,29,7,40618,Rotational,35,71,9,1,21,0
EMP0454,52,33,29352,Rotational,12,70,3,1,15,0
EMP0455,50,28,19297,Rotational,19,72,8,3,3,0
EMP0456,50,29,39940,Day,29,94,4,2,33,0
EMP0457,54,33,15203,Rotational,29,86,10,4,38,0
EMP0458,29,9,29273,Night,10,84,9,2,19,0
EMP0459,20,0,37368,Rotational,30,99,11,4,4,1
EMP0460,18,0,23650,Rotational,57,62,11,2,12,1
EMP0461,50,31,42984,Night,2,84,1,4,25,0
EMP0462,57,35,19382,Rotational,58,69,3,3,34,1
EMP0463,27,6,12801,Day,1,76,12,2,17,0
EMP0464,46,24,31733,Rotational,47,62,11,5,6,1
EMP0465,30,11,21969,Day,2,81,8,5,12,0
EMP0466,29,8,28733,Day,55,97,7,4,15,0
EMP0467,48,28,44449,Day,14,73,2,3,17,0
EMP0468,19,0,38143,Night,16,86,7,4,1,0
EMP0469,52,30,37705,Rotational,47,79,12,3,14,0
EMP0470,40,21,40363,Day,51,77,1,1,2,0
EMP0471,34,13,42720,Day,6,72,2,2,4,1
EMP0472,43,24,21972,Rotational,47,65,13,3,2,1
EMP0473,25,4,34412,Night,4,69,4,4,26,1
EMP0474,46,24,36078,Night,33,96,10,1,46,0
EMP0475,43,22,34580,Day,32,88,11,4,40,0
EMP0476,27,8,26855,Night,53,65,13,5,33,1
EMP0477,43,24,31569,Rotational,44,98,9,5,48,0
EMP0478,51,29,37738,Night,15,70,9,2,39,0
EMP0479,58,39,18772,Rotational,36,84,7,2,6,0
EMP0480,24,3,36874,Day,2,89,0,1,30,0
EMP0481,21,0,31731,Rotational,58,79,3,5,22,0
EMP0482,28,7,22131,Day,58,96,0,3,27,0
EMP0483,46,27,12788,Rotational,46,75,0,5,19,1
